,sessionID,text,label
0,Ses01F_impro01_F000,Excuse me.,3
1,Ses01F_impro01_F001,Yeah.,3
2,Ses01F_impro01_F002,Is there a problem?,3
3,Ses01F_impro01_F003,You did.,-1
4,Ses01F_impro01_F004,You were standing at the beginning and you directed me.,-1
5,Ses01F_impro01_F005,Well what's the problem?  Let me change it.,3
6,Ses01F_impro01_F006,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,-1
7,Ses01F_impro01_F007,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,-1
8,Ses01F_impro01_F008,I'm here to get an ID.,-1
9,Ses01F_impro01_F009,Like what?  Like a birth certificate?,-1
10,Ses01F_impro01_F010,Who the hell has a birth certificate?,-1
11,Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",-1
12,Ses01F_impro01_F012,That's out of control.,0
13,Ses01F_impro01_F013,How long have you been working here?,-1
14,Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",3
15,Ses01F_impro01_F015,That would - I would appreciate that.  Yeah.,-1
16,Ses01F_impro01_M000,Do you have your forms?,-1
17,Ses01F_impro01_M001,Let me see them.,-1
18,Ses01F_impro01_M002,Who told you to get in this line?,-1
19,Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,-1
20,Ses01F_impro01_M004,This form is a Z.X.four.,-1
21,Ses01F_impro01_M005,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",-1
22,Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.,-1
23,Ses01F_impro01_M007,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,-1
24,Ses01F_impro01_M008,"No.  I need another ID, a separate one.",-1
25,Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",-1
26,Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",-1
27,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,0
28,Ses01F_impro01_M012,Actually too long.,-1
29,Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,0
30,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,2
31,Ses01F_impro02_F001,Yeah.  I know.,2
32,Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,2
33,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",3
34,Ses01F_impro02_F004,"There's people that have given more though, you know?",2
35,Ses01F_impro02_F005,I know.,2
36,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",3
37,Ses01F_impro02_F007,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",-1
38,Ses01F_impro02_F008,"Just, you know, kicking myself.",2
39,Ses01F_impro02_F009,like you sign up because you need money and,-1
40,Ses01F_impro02_F010,things just aren't what they seem.,2
41,Ses01F_impro02_F011,"We're doing the right thing, though.",-1
42,Ses01F_impro02_F012,"If not me then, who?",2
43,Ses01F_impro02_F013,"You'll videotape everything, yeah?",2
44,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",2
45,Ses01F_impro02_F015,Last month--  Yeah.,2
46,Ses01F_impro02_F016,I have to find sitters.,3
